>>>Applying grid seach
>>>Generanting test/train split
Fitting 5 folds for each of 13440 candidates, totalling 67200 fits
0 params - {'clf__algorithm': 'auto', 'clf__leaf_size': 10, 'clf__metric': 'euclidean', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
3904 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3905 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3906 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3907 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3908 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3909 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3910 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3911 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3912 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3913 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3914 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3915 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3916 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3917 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3918 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3919 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3920 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3921 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3922 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3923 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3924 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3925 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3926 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3927 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3928 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3929 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3930 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3931 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3932 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3933 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3934 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3935 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'kulsinski', 'clf__n_neighbors': 9, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3936 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3937 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3938 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3939 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3940 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3941 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3942 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3943 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3944 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3945 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3946 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3947 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3948 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3949 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3950 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3951 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3952 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3953 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3954 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3955 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3956 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3957 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3958 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3959 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3960 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3961 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3962 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3963 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3964 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3965 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3966 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3967 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3968 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3969 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3970 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3971 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3972 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3973 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3974 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3975 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3976 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3977 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3978 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3979 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3980 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3981 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3982 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3983 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3984 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3985 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3986 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3987 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3988 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3989 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3990 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3991 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3992 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3993 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3994 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3995 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'uniform', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
3996 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
3997 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
3998 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
3999 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
4000 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - nan; std - nan
4001 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - nan; std - nan
4002 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - nan; std - nan
4003 params - {'clf__algorithm': 'ball_tree', 'clf__leaf_size': 10, 'clf__metric': 'russellrao', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - nan; std - nan
