>>>Applying grid seach
>>>Generanting test/train split
Fitting 5 folds for each of 480 candidates, totalling 2400 fits
0 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
112 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
113 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
114 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
115 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
116 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
117 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
118 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
119 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
120 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.01
121 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
122 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
123 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
124 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.00
125 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
126 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
127 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
128 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.00
129 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.00
130 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.75; std - 0.01
131 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.74; std - 0.00
132 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.00
133 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.00
134 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.75; std - 0.01
135 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.74; std - 0.00
136 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.01
137 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
138 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.74; std - 0.01
139 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.73; std - 0.01
140 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.01
141 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
142 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.74; std - 0.01
143 params - {'clf__class_weight': 'balanced', 'clf__solver': 'liblinear', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.73; std - 0.01
144 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
145 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.01
146 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
147 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
148 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
149 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.01
150 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.81; std - 0.00
151 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
152 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.79; std - 0.01
153 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.79; std - 0.01
154 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.79; std - 0.01
155 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
156 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.79; std - 0.01
157 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.79; std - 0.01
158 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.79; std - 0.01
159 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
160 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
161 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
162 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.81; std - 0.00
163 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
164 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
165 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
166 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.81; std - 0.00
167 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
168 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
169 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
170 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
171 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
172 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.01
173 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
174 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
175 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
176 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.01
177 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.00
178 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.75; std - 0.00
179 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.74; std - 0.00
180 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.01
181 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.00
182 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.75; std - 0.01
183 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.74; std - 0.00
184 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.74; std - 0.01
185 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
186 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.74; std - 0.01
187 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.73; std - 0.01
188 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.01
189 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
190 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.74; std - 0.01
191 params - {'clf__class_weight': 'balanced', 'clf__solver': 'sag', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.73; std - 0.01
192 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
193 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
194 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.81; std - 0.00
195 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
196 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
197 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
198 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
199 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
200 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.79; std - 0.01
201 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.79; std - 0.01
202 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.79; std - 0.01
203 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
204 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.79; std - 0.01
205 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.79; std - 0.01
206 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.79; std - 0.01
207 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
208 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
209 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.01
210 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
211 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
212 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
213 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.01
214 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.81; std - 0.00
215 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
216 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
217 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
218 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
219 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.00
220 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.01
221 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
222 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
223 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.00
224 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.00
225 params - {'clf__class_weight': 'balanced', 'clf__solver': 'saga', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.00
