>>>Applying grid seach
>>>Generanting test/train split
Fitting 5 folds for each of 576 candidates, totalling 2880 fits
0 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
124 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.73; std - 0.01
125 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.73; std - 0.01
126 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.73; std - 0.01
127 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.73; std - 0.01
128 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 400, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.64; std - 0.00
129 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 400, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.64; std - 0.00
130 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 400, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.64; std - 0.00
131 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 400, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.64; std - 0.00
132 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.74; std - 0.01
133 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.74; std - 0.00
134 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.74; std - 0.01
135 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.74; std - 0.01
136 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.74; std - 0.01
137 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.74; std - 0.01
138 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.74; std - 0.01
139 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.74; std - 0.01
140 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 600, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
141 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 600, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
142 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 600, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
143 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.6, 'clf__n_estimators': 600, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
144 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.69; std - 0.01
145 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.69; std - 0.01
146 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.69; std - 0.01
147 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.69; std - 0.01
148 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.69; std - 0.00
149 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.69; std - 0.00
150 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.70; std - 0.00
151 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.69; std - 0.00
152 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
153 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
154 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
155 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
156 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.71; std - 0.01
157 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.71; std - 0.01
158 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.71; std - 0.01
159 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.71; std - 0.01
160 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.70; std - 0.00
161 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.71; std - 0.01
162 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.71; std - 0.00
163 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.71; std - 0.00
164 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
165 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
166 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.63; std - 0.00
167 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
168 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.73; std - 0.01
169 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.73; std - 0.01
170 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.72; std - 0.00
171 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.72; std - 0.00
172 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.73; std - 0.01
173 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.73; std - 0.01
174 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.73; std - 0.01
175 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.73; std - 0.01
176 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.64; std - 0.00
177 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
178 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.64; std - 0.00
179 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.63; std - 0.00
180 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.74; std - 0.01
181 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.73; std - 0.01
182 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.74; std - 0.00
183 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.74; std - 0.01
184 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.74; std - 0.00
185 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.74; std - 0.01
186 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.74; std - 0.01
187 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 200, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.74; std - 0.01
188 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 200, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
189 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 200, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.64; std - 0.00
190 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 200, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
191 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 200, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
192 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.75; std - 0.01
193 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.75; std - 0.01
194 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.75; std - 0.01
195 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.75; std - 0.01
196 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.75; std - 0.00
197 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.75; std - 0.00
198 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.75; std - 0.01
199 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 400, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.76; std - 0.01
200 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 400, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
201 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 400, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
202 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 400, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.66; std - 0.00
203 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 400, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
204 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.75; std - 0.01
205 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.76; std - 0.00
206 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.76; std - 0.01
207 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.76; std - 0.01
208 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.76; std - 0.00
209 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.76; std - 0.01
210 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.76; std - 0.01
211 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 600, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.76; std - 0.01
212 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 600, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.66; std - 0.00
213 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 600, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.66; std - 0.00
214 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 600, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.66; std - 0.01
215 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 600, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.66; std - 0.01
216 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.53; std - 0.01
217 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.53; std - 0.02
218 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.52; std - 0.01
219 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.52; std - 0.01
220 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.53; std - 0.02
221 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.54; std - 0.02
222 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.51; std - 0.01
223 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.51; std - 0.02
224 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.46; std - 0.01
225 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.46; std - 0.02
226 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.45; std - 0.01
227 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.46; std - 0.01
228 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.52; std - 0.02
229 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.52; std - 0.02
230 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.52; std - 0.01
231 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.51; std - 0.01
232 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.53; std - 0.02
233 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.53; std - 0.02
234 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.50; std - 0.01
235 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.51; std - 0.01
236 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.46; std - 0.01
237 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.46; std - 0.01
238 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.45; std - 0.02
239 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 50, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.46; std - 0.01
240 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.51; std - 0.02
241 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.51; std - 0.02
242 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.52; std - 0.01
243 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.51; std - 0.02
244 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.53; std - 0.02
245 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.53; std - 0.02
246 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.49; std - 0.01
247 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 100, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.51; std - 0.01
248 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.47; std - 0.01
249 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 2, 'clf__n_estimators': 100, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.47; std - 0.01
